
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 4096 2.27
001: 4096 1.03
002: 4096 1.04
003: 4096 1.03
004: 4096 1.03
005: 4096 1.04
006: 4096 1.03
007: 4096 1.04
008: 4096 1.04
009: 4096 1.03
010: 4096 1.04
011: 4096 1.04
012: 4096 1.04
013: 4096 1.04
014: 4096 1.04
015: 4096 1.03
016: 4096 1.03
017: 4096 1.04
018: 4096 1.03
019: 4096 1.04
020: 4096 1.03
021: 4096 1.04
022: 4096 1.03
023: 4096 1.03
024: 4096 1.11
025: 4096 1.11
026: 4096 1.11
027: 4096 1.11
028: 4096 1.11
029: 4096 1.11
030: 4096 1.12
031: 4096 1.11
032: 4096 1.11
033: 4096 1.11
034: 4096 1.11
035: 4096 1.13
036: 4096 1.11
037: 4096 1.12
038: 4096 1.10
039: 4096 1.11
040: 4096 1.11
041: 4096 1.11
042: 4096 1.10
043: 4096 1.11
044: 4096 1.10
045: 4096 1.11
4096                    1.10
000: 8192 2.93
001: 8192 1.57
002: 8192 1.58
003: 8192 1.57
004: 8192 1.58
005: 8192 1.58
006: 8192 1.57
007: 8192 1.58
008: 8192 1.58
009: 8192 1.57
010: 8192 1.58
011: 8192 1.57
012: 8192 1.58
013: 8192 1.58
014: 8192 1.57
015: 8192 1.57
016: 8192 1.57
017: 8192 1.58
018: 8192 1.57
019: 8192 1.57
020: 8192 1.57
021: 8192 1.58
022: 8192 1.57
023: 8192 1.58
024: 8192 1.80
025: 8192 1.80
026: 8192 1.80
027: 8192 1.80
028: 8192 1.80
029: 8192 1.80
030: 8192 1.81
031: 8192 1.80
032: 8192 1.80
033: 8192 1.80
034: 8192 1.80
035: 8192 1.82
036: 8192 1.80
037: 8192 1.82
038: 8192 1.80
039: 8192 1.80
040: 8192 1.80
041: 8192 1.80
042: 8192 1.80
043: 8192 1.80
044: 8192 1.80
045: 8192 1.80
8192                    1.71
000: 16384 4.28
001: 16384 2.68
002: 16384 2.68
003: 16384 2.69
004: 16384 2.69
005: 16384 2.69
006: 16384 2.68
007: 16384 2.69
008: 16384 2.69
009: 16384 2.68
010: 16384 2.69
011: 16384 2.68
012: 16384 2.68
013: 16384 2.68
014: 16384 2.67
015: 16384 2.68
016: 16384 2.69
017: 16384 2.68
018: 16384 2.67
019: 16384 2.68
020: 16384 2.68
021: 16384 2.69
022: 16384 2.68
023: 16384 2.68
024: 16384 3.16
025: 16384 3.16
026: 16384 3.16
027: 16384 3.15
028: 16384 3.16
029: 16384 3.16
030: 16384 3.17
031: 16384 3.16
032: 16384 3.17
033: 16384 3.16
034: 16384 3.16
035: 16384 3.17
036: 16384 3.17
037: 16384 3.18
038: 16384 3.15
039: 16384 3.16
040: 16384 3.16
041: 16384 3.15
042: 16384 3.15
043: 16384 3.16
044: 16384 3.16
045: 16384 3.16
16384                   2.95
000: 32768 6.99
001: 32768 4.97
002: 32768 4.96
003: 32768 4.97
004: 32768 4.97
