
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
019: 1 0.16
020: 1 0.16
021: 1 0.16
1                       0.20
000: 2 0.92
001: 2 0.16
002: 2 0.17
003: 2 0.17
004: 2 0.17
005: 2 0.17
006: 2 0.17
007: 2 0.17
008: 2 0.17
009: 2 0.17
010: 2 0.18
011: 2 0.17
012: 2 0.17
013: 2 0.17
014: 2 0.17
015: 2 0.17
016: 2 0.17
017: 2 0.17
018: 2 0.17
019: 2 0.17
020: 2 0.16
021: 2 0.17
2                       0.20
000: 4 0.89
001: 4 0.16
002: 4 0.17
003: 4 0.16
004: 4 0.17
005: 4 0.17
006: 4 0.16
007: 4 0.16
008: 4 0.16
009: 4 0.16
010: 4 0.17
011: 4 0.17
012: 4 0.16
013: 4 0.16
014: 4 0.16
015: 4 0.16
016: 4 0.16
017: 4 0.16
018: 4 0.16
019: 4 0.16
020: 4 0.16
021: 4 0.16
4                       0.20
000: 8 0.87
001: 8 0.17
002: 8 0.17
003: 8 0.17
004: 8 0.16
005: 8 0.17
006: 8 0.17
007: 8 0.17
008: 8 0.16
009: 8 0.17
010: 8 0.18
011: 8 0.17
012: 8 0.17
013: 8 0.16
014: 8 0.17
015: 8 0.17
016: 8 0.17
017: 8 0.17
018: 8 0.17
019: 8 0.17
020: 8 0.16
021: 8 0.17
8                       0.20
000: 16 0.88
001: 16 0.17
002: 16 0.17
003: 16 0.18
004: 16 0.17
005: 16 0.17
006: 16 0.18
007: 16 0.17
008: 16 0.17
009: 16 0.17
010: 16 0.19
011: 16 0.19
012: 16 0.17
013: 16 0.17
014: 16 0.17
015: 16 0.17
016: 16 0.17
017: 16 0.18
018: 16 0.17
019: 16 0.17
020: 16 0.16
021: 16 0.18
16                      0.20
000: 32 0.89
001: 32 0.17
002: 32 0.18
003: 32 0.18
004: 32 0.18
005: 32 0.18
006: 32 0.17
007: 32 0.17
008: 32 0.18
009: 32 0.18
010: 32 0.18
011: 32 0.19
012: 32 0.17
013: 32 0.18
014: 32 0.18
015: 32 0.18
016: 32 0.18
017: 32 0.18
018: 32 0.18
019: 32 0.18
020: 32 0.17
021: 32 0.18
32                      0.21
000: 64 0.95
001: 64 0.17
002: 64 0.17
003: 64 0.16
004: 64 0.17
005: 64 0.17
006: 64 0.17
007: 64 0.16
008: 64 0.17
009: 64 0.17
010: 64 0.17
011: 64 0.17
012: 64 0.16
013: 64 0.17
014: 64 0.17
015: 64 0.17
016: 64 0.17
017: 64 0.17
018: 64 0.17
019: 64 0.17
020: 64 0.16
021: 64 0.16
64                      0.20
000: 128 0.91
001: 128 0.21
002: 128 0.22
003: 128 0.21
004: 128 0.20
005: 128 0.22
006: 128 0.20
007: 128 0.20
008: 128 0.21
009: 128 0.20
010: 128 0.21
011: 128 0.22
012: 128 0.21
013: 128 0.21
014: 128 0.21
015: 128 0.21
016: 128 0.20
017: 128 0.20
018: 128 0.22
019: 128 0.21
020: 128 0.20
021: 128 0.21
128                     0.24
000: 256 0.93
001: 256 0.23
002: 256 0.23
003: 256 0.24
004: 256 0.23
005: 256 0.23
006: 256 0.24
007: 256 0.23
008: 256 0.23
009: 256 0.23
010: 256 0.24
011: 256 0.24
012: 256 0.23
013: 256 0.24
014: 256 0.24
015: 256 0.23
016: 256 0.23
017: 256 0.23
018: 256 0.23
019: 256 0.24
020: 256 0.23
021: 256 0.23
256                     0.27
000: 512 1.05
001: 512 0.38
002: 512 0.37
003: 512 0.38
004: 512 0.36
005: 512 0.36
006: 512 0.36
007: 512 0.36
008: 512 0.36
009: 512 0.36
010: 512 0.37
011: 512 0.37
012: 512 0.37
013: 512 0.37
014: 512 0.36
015: 512 0.36
016: 512 0.36
017: 512 0.37
018: 512 0.37
019: 512 0.36
020: 512 0.36
021: 512 0.36
512                     0.40
000: 1024 1.29
001: 1024 0.43
002: 1024 0.44
003: 1024 0.42
004: 1024 0.43
005: 1024 0.44
006: 1024 0.43
007: 1024 0.44
008: 1024 0.42
009: 1024 0.43
010: 1024 0.44
011: 1024 0.45
012: 1024 0.44
013: 1024 0.44
014: 1024 0.44
015: 1024 0.44
016: 1024 0.42
017: 1024 0.43
018: 1024 0.43
019: 1024 0.43
020: 1024 0.43
021: 1024 0.42
1024                    0.47
000: 2048 1.36
001: 2048 0.55
002: 2048 0.58
003: 2048 0.57
004: 2048 0.58
005: 2048 0.58
006: 2048 0.57
007: 2048 0.55
008: 2048 0.58
009: 2048 0.58
010: 2048 0.58
011: 2048 0.59
012: 2048 0.56
013: 2048 0.58
014: 2048 0.58
015: 2048 0.59
016: 2048 0.58
017: 2048 0.57
018: 2048 0.57
019: 2048 0.58
020: 2048 0.57
021: 2048 0.59
2048                    0.61
000: 4096 1.63
001: 4096 0.85
002: 4096 0.87
003: 4096 0.85
004: 4096 0.87
005: 4096 0.84
006: 4096 0.84
007: 4096 0.82
008: 4096 0.87
009: 4096 0.83
010: 4096 0.83
011: 4096 0.86
012: 4096 0.84
013: 4096 0.84
014: 4096 0.86
015: 4096 0.87
016: 4096 0.82
017: 4096 0.86
018: 4096 0.84
019: 4096 0.86
020: 4096 0.85
021: 4096 0.88
4096                    0.89
000: 8192 2.27
001: 8192 1.47
002: 8192 1.38
003: 8192 1.35
004: 8192 1.37
005: 8192 1.39
006: 8192 1.39
007: 8192 1.39
008: 8192 1.37
009: 8192 1.35
010: 8192 1.38
011: 8192 1.40
012: 8192 1.37
013: 8192 1.38
014: 8192 1.35
015: 8192 1.39
016: 8192 1.37
017: 8192 1.35
018: 8192 1.37
019: 8192 1.38
020: 8192 1.38
021: 8192 1.37
8192                    1.42
000: 16384 3.56
001: 16384 2.77
002: 16384 2.55
003: 16384 2.53
004: 16384 2.46
005: 16384 2.49
006: 16384 2.48
007: 16384 2.53
008: 16384 2.50
009: 16384 2.46
010: 16384 2.48
011: 16384 2.51
012: 16384 2.52
013: 16384 2.53
014: 16384 2.55
015: 16384 2.56
016: 16384 2.50
017: 16384 2.48
018: 16384 2.50
019: 16384 2.49
020: 16384 2.49
021: 16384 2.50
16384                   2.57
000: 32768 5.38
001: 32768 4.59
002: 32768 4.57
003: 32768 4.60
004: 32768 4.53
005: 32768 4.53
006: 32768 4.52
007: 32768 4.60
008: 32768 4.58
009: 32768 4.55
010: 32768 4.59
011: 32768 4.54
012: 32768 4.49
013: 32768 4.17
014: 32768 4.53
015: 32768 4.59
016: 32768 4.49
017: 32768 4.57
018: 32768 4.56
019: 32768 4.53
020: 32768 4.51
021: 32768 4.47
32768                   4.57
000: 65536 8.25
001: 65536 7.36
002: 65536 7.15
003: 65536 7.30
004: 65536 7.26
005: 65536 6.94
006: 65536 7.33
007: 65536 6.97
008: 65536 7.06
009: 65536 6.77
010: 65536 7.31
011: 65536 6.79
012: 65536 7.20
013: 65536 6.37
014: 65536 7.20
015: 65536 6.94
016: 65536 7.18
017: 65536 7.29
018: 65536 7.31
019: 65536 6.90
020: 65536 7.04
021: 65536 6.71
65536                   7.12
000: 131072 13.07
001: 131072 12.18
002: 131072 11.87
003: 131072 12.01
004: 131072 12.05
005: 131072 11.16
006: 131072 12.33
007: 131072 11.22
008: 131072 11.52
009: 131072 11.09
010: 131072 12.17
011: 131072 11.03
012: 131072 11.14
013: 131072 10.29
014: 131072 12.06
015: 131072 11.43
016: 131072 12.05
017: 131072 12.32
018: 131072 12.20
019: 131072 10.90
020: 131072 10.85
021: 131072 10.87
131072                 11.63
000: 262144 22.94
001: 262144 22.07
002: 262144 19.69
003: 262144 19.08
004: 262144 21.90
005: 262144 19.32
006: 262144 22.11
007: 262144 21.02
008: 262144 20.47
009: 262144 19.96
010: 262144 22.12
011: 262144 19.31
012: 262144 20.72
013: 262144 19.03
014: 262144 21.78
015: 262144 21.35
016: 262144 21.76
017: 262144 21.49
018: 262144 22.06
019: 262144 19.14
020: 262144 20.67
021: 262144 19.30
262144                 20.79
000: 524288 47.55
001: 524288 42.69
002: 524288 42.68
003: 524288 44.36
004: 524288 44.88
005: 524288 42.66
006: 524288 46.59
007: 524288 42.64
008: 524288 42.69
009: 524288 45.16
010: 524288 46.82
011: 524288 42.70
012: 524288 42.67
013: 524288 42.65
014: 524288 46.19
015: 524288 42.73
016: 524288 45.81
017: 524288 45.27
018: 524288 43.73
019: 524288 42.75
020: 524288 44.01
021: 524288 43.70
524288                 44.13
000: 1048576 119.46
001: 1048576 117.93
002: 1048576 117.46
003: 1048576 117.51
004: 1048576 118.06
005: 1048576 118.08
006: 1048576 117.56
007: 1048576 117.46
008: 1048576 117.68
009: 1048576 117.44
010: 1048576 117.94
011: 1048576 117.61
012: 1048576 117.81
013: 1048576 117.85
014: 1048576 117.60
015: 1048576 117.52
016: 1048576 117.79
017: 1048576 117.62
018: 1048576 117.48
019: 1048576 117.70
020: 1048576 118.26
021: 1048576 117.43
1048576               117.78

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.89
001: 1 0.18
002: 1 0.17
003: 1 0.17
004: 1 0.18
005: 1 0.17
006: 1 0.18
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.18
011: 1 0.18
012: 1 0.17
013: 1 0.18
014: 1 0.18
015: 1 0.18
016: 1 0.17
017: 1 0.19
018: 1 0.18
019: 1 0.17
020: 1 0.17
021: 1 0.18
1                       0.21
000: 2 0.88
001: 2 0.19
002: 2 0.17
003: 2 0.16
004: 2 0.17
005: 2 0.17
006: 2 0.17
007: 2 0.17
008: 2 0.17
009: 2 0.17
010: 2 0.18
011: 2 0.18
012: 2 0.17
013: 2 0.17
014: 2 0.17
015: 2 0.17
016: 2 0.17
017: 2 0.17
018: 2 0.17
019: 2 0.17
020: 2 0.18
021: 2 0.17
2                       0.21
000: 4 0.88
001: 4 0.18
002: 4 0.18
003: 4 0.17
004: 4 0.18
005: 4 0.18
006: 4 0.18
007: 4 0.17
008: 4 0.17
009: 4 0.18
010: 4 0.18
011: 4 0.18
012: 4 0.17
013: 4 0.17
014: 4 0.17
015: 4 0.18
016: 4 0.18
017: 4 0.18
018: 4 0.17
019: 4 0.18
020: 4 0.17
021: 4 0.17
4                       0.21
000: 8 0.87
001: 8 0.18
002: 8 0.17
003: 8 0.17
004: 8 0.17
